JAYAD,HORTICULTURE,Vegetables,French Bean,Bio-Pesticides and Bio-Fertilizers,Attack Thrips,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,MAHARASHTRA,DHULE,SAKRI                                             ,4/1/2018 08:05,2018,Apr
JAYAD,HORTICULTURE,Vegetables,Beans ,"	Plant Protection	",ATTACK SUCKING PEST ,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,DHULE,SAKRI                                             ,4/2/2018 13:15,2018,Apr
JAYAD,AGRICULTURE,Others,Others,"	Plant Protection	",Attack Caterpillar,Spray Polo 25gm /15 Liter of Water (Diafenthiuron)-Syngenta,MAHARASHTRA,DHULE,DHULE                                             ,4/2/2018 17:56,2018,Apr
RABI,AGRICULTURE,Others,Others,Weather,Asked Weather Forecast,This Week Weather is partially cloudy and  no possibility of Rainfall.,MAHARASHTRA,DHULE,SHIRPUR                                           ,4/2/2018 18:32,2018,Apr
JAYAD,HORTICULTURE,Flowers,Rose,Bio-Pesticides and Bio-Fertilizers,ATTACK SUCKING PEST,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,DHULE,DHULE                                             ,4/3/2018 09:04,2018,Apr
JAYAD,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",Attack Leaf Miner,Neen arc 20 ml/15 liter water.,MAHARASHTRA,DHULE,DHULE                                             ,4/3/2018 09:38,2018,Apr
RABI,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),"	Plant Protection	",blight,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta,MAHARASHTRA,DHULE,SAKRI                                             ,4/4/2018 10:27,2018,Apr
JAYAD,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,sugarcane top dressing fertilizer management,Recommended for apply urea 80 kg + potash 25 kg / ac,TAMILNADU,KRISHNAGIRI,SHOOLAGIRI                                        ,5/1/2015 07:06,2015,May
JAYAD,HORTICULTURE,Fruits,Banana,Fertilizer Use and Availability,Fertilizer management banana,recommended for apply urea 150gm+superphosphate 200gm+potash 200gm /plant,TAMILNADU,KRISHNAGIRI,THALLY                                            ,5/1/2015 11:27,2015,May
JAYAD,HORTICULTURE,Fruits,Almond,Cultural Practices,Amla planting season,Recommended for Amla planting season : July - August,TAMILNADU,KRISHNAGIRI,UTTANGARAI                                        ,5/1/2015 12:23,2015,May
JAYAD,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",Tomato sucking pest attack,Recommended for spray dimethoate 2 ml / litre of water,TAMILNADU,KRISHNAGIRI,KELAMANGALAM                                      ,5/1/2015 17:55,2015,May
JAYAD,AGRICULTURE,Others,Others,Weather,vegetable crop summer,recommended for crops like tomato  onion  lab lab  amaranthus,TAMILNADU,KRISHNAGIRI,SHOOLAGIRI                                        ,5/1/2015 19:57,2015,May
JAYAD,HORTICULTURE,Vegetables,ARUM,Training and Exposure Visits,Green house set vegetable,Recommended for contact horticulture department contact number is 04342232226,TAMILNADU,KRISHNAGIRI,KAVERIPATTINAM                                    ,5/1/2015 20:12,2015,May
JAYAD,HORTICULTURE,Vegetables,Tomato,"Water Management, Micro Irrigation",weed management tomato,recommended for take hand weeding,TAMILNADU,KRISHNAGIRI,KRISHNAGIRI                                       ,5/1/2015 21:28,2015,May
JAYAD,AGRICULTURE,Others,Others,"Soil Testing	",soil testing labotaory,recommended contact to agriculture department 9443464752,TAMILNADU,KRISHNAGIRI,KRISHNAGIRI                                       ,5/2/2015 10:39,2015,May
JAYAD,HORTICULTURE,Fruits,Papaya,"	Plant Protection	",leaf curl virus control papaya,recommended for spray imidacloprid 0.4 ml/lit of water,TAMILNADU,KRISHNAGIRI,BARGUR                                            ,5/2/2015 11:20,2015,May
